rank,username,influence_score,posts,followers,avg_likes,engagement_rate_60_days,new_post_avg_likes,total_likes,country
1,cristiano,92,3300,475800000,8700000.0,1.39,6500000.0,29000000000,Spain
2,kyliejenner,91,6900,366200000,8300000.000000001,1.62,5900000.0,57400000000,United States
3,leomessi,90,890,357300000,6800000.0,1.24,4400000.0,6000000000,Unknown
4,selenagomez,93,1800,342700000,6200000.0,0.97,3300000.0,11500000000,United States
5,therock,91,6800,334100000,1900000.0,0.2,665300.0,12500000000,United States
6,kimkardashian,91,5600,329200000,3500000.0,0.88,2900000.0,19900000000,United States
7,arianagrande,92,5000,327700000,3700000.0,1.2,3900000.0,18400000000,United States
8,beyonce,92,2000,272800000,3600000.0,0.76,2000000.0,7400000000,United States
9,khloekardashian,89,4100,268300000,2400000.0,0.35,926900.0,9800000000,United States
10,justinbieber,91,7400,254500000,1900000.0,0.59,1500000.0,13900000000,Canada
11,kendalljenner,90,660,254000000,5500000.0,2.04,5100000.0,3700000000,United States
12,natgeo,91,10000,237000000,302200.0,0.07,159300.0,3000000000,United States
13,nike,90,950,234100000,329000.0,0.08,181800.0,313600000,United States
14,taylorswift,91,530,222200000,2400000.0,1.01,2300000.0,1300000000,United States
15,jlo,89,3200,220400000,1700000.0,0.62,1400000.0,5300000000,United States
16,virat.kohli,87,1400,211800000,3500000.0,0.96,2000000.0,4900000000,Unknown
17,nickiminaj,90,6400,201600000,2100000.0,0.53,1000000.0,13500000000,United States
18,kourtneykardash,89,4400,195200000,1800000.0,0.67,1300000.0,7700000000,United States
19,mileycyrus,89,1200,181500000,1300000.0,0.51,913600.0,1600000000,Unknown
20,neymarjr,90,5300,177100000,2700000.0,1.09,1900000.0,14100000000,Brazil
21,katyperry,92,2000,170300000,715000.0,0.16,265100.0,1500000000,Unknown
22,kevinhart4real,88,8200,152000000,522000.0,0.08,115200.0,4300000000,United States
23,zendaya,87,3500,150700000,5800000.0,3.17,4800000.0,20600000000,United States
24,iamcardib,75,1600,140500000,3100000.0,1.1,1500000.0,5000000000,United States
25,ddlovato,88,80,139100000,1100000.0,0.27,363400.0,91300000,United States
26,badgalriri,88,4800,135300000,3700000.0,0.02,0.0,17900000000,United States
27,kingjames,86,2300,130900000,2100000.0,0.92,1200000.0,4900000000,Unknown
28,theellenshow,87,10000,125100000,420500.0,0.07,81700.0,4200000000,United States
29,realmadrid,90,6900,123400000,996200.0,0.48,588300.0,6800000000,Spain
30,champagnepapi,85,5200,119600000,1700000.0,1.1,1300000.0,9000000000,Netherlands
31,chrisbrownofficial,86,7300,118500000,463200.0,0.22,255900.0,3400000000,United States
32,fcbarcelona,90,10000,111400000,1200000.0,0.64,706300.0,11600000000,Unknown
33,billieeilish,73,690,105200000,8500000.0,5.02,5200000.0,5900000000,Unknown
34,dualipa,74,1300,85900000,2100000.0,1.26,1100000.0,2600000000,United Kingdom
35,gal_gadot,85,1700,85600000,1400000.0,0.69,586500.0,2300000000,United States
36,vindiesel,88,1800,82300000,1400000.0,0.6,482300.0,2500000000,United States
37,nasa,88,3600,81300000,1200000.0,1.53,1200000.0,4200000000,United States
38,priyankachopra,85,3600,81100000,1600000.0,1.0,802900.0,5600000000,United States
39,lalalalisa_m,70,870,80900000,5800000.0,9.0,7200000.0,5100000000,Unknown
40,Shakira,88,2000,76100000,975100.0,0.41,304700.0,1900000000,Unknown
41,snoopdogg,86,10000,75300000,203700.0,0.17,125800.0,2000000000,Unknown
42,gigihadid,85,3300,75300000,2500000.0,2.56,1900000.0,8199999999,United States
43,davidbeckham,86,1500,74900000,1200000.0,0.46,340900.0,1900000000,United States
44,shraddhakapoor,81,1900,73900000,1600000.0,1.17,859900.0,3000000000,Unknown
45,victoriassecret,88,2900,73200000,147000.0,0.04,29800.0,423500000,United States
46,k.mbappe,86,1200,72700000,2500000.0,2.16,1600000.0,2800000000,Unknown
47,nehakakkar,84,2300,70400000,1500000.0,0.54,370100.0,3500000000,India
48,nba,87,12900,70100000,370800.0,0.28,196900.0,4800000000,United States
49,shawnmendes,83,2500,69900000,3500000.0,2.87,2000000.0,8800000000,Canada
50,jennierubyjane,76,860,68900000,5100000.0,8.36,5700000.0,4400000000,Unknown
51,narendramodi,85,540,68900000,2900000.0,3.01,2000000.0,1600000000,India
52,aliaabhatt,82,1800,68700000,1800000.0,3.14,2100000.0,3300000000,India
53,deepikapadukone,83,260,68400000,1600000.0,2.23,1500000.0,419000000,India
54,tomholland2013,77,1200,67700000,5400000.0,10.83,7300000.0,6600000000,Unknown
55,ronaldinho,78,2900,67700000,872900.0,0.49,325700.0,2600000000,Brazil
56,emmawatson,87,340,67300000,1900000.0,0.01,0.0,639000000,United States
57,bts.bighitofficial,78,1200,66900000,4099999.9999999995,5.4,3600000.0,4900000000,Uruguay
58,katrinakaif,85,1000,66300000,1700000.0,2.25,1500000.0,1700000000,India
59,marvel,82,7000,66200000,332300.0,0.51,339000.0,2300000000,Turkey
60,justintimberlake,87,780,65900000,600400.0,0.3,189400.0,470700000,United States
61,camila_cabello,77,2900,65000000,1900000.0,2.19,1400000.0,5400000000,United States
62,willsmith,82,1400,63900000,1400000.0,0.02,0.0,1900000000,United States
63,raffinagita1717,83,17500,63500000,386900.0,0.58,366600.0,6800000000,Indonesia
64,anitta,82,5100,63100000,855500.0,0.69,426200.0,4400000000,United States
65,sooyaaa__,82,830,62900000,4500000.0,9.43,5900000.0,3800000000,Unknown
66,maluma,84,8200,62800000,1200000.0,1.12,696300.0,9800000000,Colombia
67,akshaykumar,85,1900,62800000,1500000.0,1.01,624900.0,2900000000,Unknown
68,jacquelinef143,85,2400,62700000,1100000.0,1.15,718800.0,2800000000,India
69,psg,86,10000,61900000,500500.0,0.52,322200.0,5000000000,France
70,roses_are_rosie,82,820,61800000,4600000.0,9.72,6000000.0,3800000000,Unknown
71,manchesterunited,85,9900,59600000,381800.0,0.41,241600.0,3800000000,United Kingdom
72,anushkasharma,85,1200,59500000,1900000.0,2.34,1400000.0,2200000000,Unknown
73,whinderssonnunes,79,2700,58700000,1600000.0,0.58,323100.0,4400000000,Brazil
74,9gag,86,10000,58100000,672600.0,0.44,248600.0,6700000000,United States
75,marcelotwelve,86,2700,58100000,690900.0,0.78,448300.0,1900000000,Brazil
76,milliebobbybrown,80,280,57600000,4000000.0,8.63,5000000.0,1100000000,United States
77,karimbenzema,42,2000,56900000,878500.0,1.62,918900.0,1800000000,Spain
78,chrishemsworth,86,880,55900000,2800000.0,3.69,2100000.0,2500000000,Australia
79,karolg,83,3300,55600000,3100000.0,10.25,5700000.0,10100000000,India
80,paulpogba,80,1300,55200000,1400000.0,0.85,462600.0,1800000000,France
81,iamzlatanibrahimovic,86,870,55100000,1500000.0,1.53,837100.0,1300000000,Unknown
82,leonardodicaprio,86,1700,54600000,395500.0,0.2,107600.0,669300000,Unknown
83,juventus,87,10000,54500000,194800.0,0.25,135500.0,1900000000,Unknown
84,zacefron,86,660,54500000,2300000.0,8.18,4400000.0,1500000000,United States
85,bellahadid,79,3200,54100000,1100000.0,2.06,1100000.0,3600000000,United Kingdom
86,tatawerneck,86,5600,53900000,959800.0,0.51,266500.0,5400000000,Brazil
87,beingsalmankhan,76,1200,53500000,1400000.0,1.33,693900.0,1600000000,India
88,robertdowneyjr,86,420,53400000,3000000.0,2.05,1100000.0,1300000000,United States
89,sunnyleone,84,4600,53400000,764000.0,0.57,301300.0,3500000000,Unknown
90,ladygaga,83,3600,53200000,1400000.0,1.02,531600.0,5100000000,United States
91,dishapatani,74,2100,53000000,1600000.0,1.85,971700.0,3400000000,United States
92,sergioramos,87,2200,52800000,1100000.0,1.06,557900.0,2500000000,Unknown
93,jbalvin,87,10000,52800000,878000.0,0.66,340500.0,8800000000,Unknown
94,mosalah,22,840,52500000,1800000.0,2.18,1100000.0,1500000000,Unknown
95,ayutingting92,85,10000,52400000,147300.0,0.11,56300.0,1500000000,Indonesia
96,433,79,10300,51200000,863200.0,1.52,774200.0,8900000000,Netherlands
97,hudabeauty,82,2400,50800000,186400.0,0.04,16800.0,453600000,United States
98,adele,84,420,50700000,4700000.0,3.82,1900000.0,2000000000,United States
99,michelleobama,85,600,50700000,700500.0,1.22,611200.0,421700000,Unknown
100,kritisanon,76,2700,50200000,897200.0,1.21,604400.0,2400000000,India
101,jamesrodriguez10,86,1100,49900000,1400000.0,0.75,363900.0,1500000000,Colombia
102,krisjenner,80,6400,49700000,356800.0,0.91,452900.0,2300000000,United States
103,thv,83,60,49300000,15400000.0,25.8,12600000.0,987400000,Unknown
104,lelepons,81,2500,49200000,2400000.0,3.55,1700000.0,6100000000,United States
105,charlidamelio,80,150,49100000,4200000.0,3.28,1600000.0,654400000,Unknown
106,gucci,86,8900,49000000,115100.0,0.15,72400.0,1000000000,Italy
107,prillylatuconsina96,84,6500,48900000,372400.0,0.27,131800.0,2400000000,Indonesia
108,louisvuitton,82,6500,48700000,127500.0,0.08,40500.0,824000000,France
109,paulodybala,85,1300,48300000,1800000.0,2.88,1400000.0,2300000000,Unknown
110,blackpinkofficial,85,1400,48200000,2100000.0,2.77,1300000.0,3000000000,Unknown
111,dovecameron,85,170,48200000,1600000.0,1.75,841400.0,283000000,United States
112,garethbale11,86,980,48100000,763000.0,1.43,681300.0,753100000,Unknown
113,jokowi,85,3500,47700000,452600.0,0.41,189600.0,1600000000,Unknown
114,nusr_et,81,2300,47300000,728200.0,0.29,133000.0,1700000000,United Arab Emirates
115,harrystyles,57,590,46900000,4700000.0,6.38,2900000.0,2800000000,United States
116,haileybieber,85,2100,46900000,2000000.0,3.47,1600000.0,4200000000,Unknown
117,vanessahudgens,84,4200,46800000,633900.0,0.63,292900.0,2700000000,United States
118,5-Minute Crafts GIRLY,85,10000,46500000,157000.0,0.03,12400.0,1600000000,United States
119,zayn,82,160,46500000,4700000.0,8.81,4000000.0,773500000,United States
120,larissamanoela,85,5200,46500000,579600.0,0.57,259399.99999999997,3000000000,Brazil
121,travisscott,78,3200,46200000,3000000.0,5.71,2600000.0,9600000000,United States
122,thenotoriousmma,82,3200,45900000,1100000.0,0.69,311500.0,3500000000,United States
123,daddyyankee,80,20,45900000,652500.0,1.0,455300.0,18300000,Puerto Rico
124,natgeotravel,82,16900,45800000,189900.0,0.12,52800.0,3200000000,United States
125,nikefootball,85,1800,45400000,431200.0,0.44,199800.0,784000000,United States
